adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Ramgarh,,,,BD20460080,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,148.6932248,v03,en,,,,,22.95403742,91.77612993
Kamalnagar,,,,BD20510033,Lakshmipur,,,,BD2051,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,237.190306,v03,en,,,,,22.75743615,90.8537509
Lakshmipur Sadar,,,,BD20510043,Lakshmipur,,,,BD2051,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,553.0207946,v03,en,,,,,22.91127372,90.84389751
Raipur,,,,BD20510058,Lakshmipur,,,,BD2051,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,183.6205666,v03,en,,,,,23.00469424,90.73152598
Ramganj,,,,BD20510065,Lakshmipur,,,,BD2051,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,169.4202035,v03,en,,,,,23.09675351,90.87272553
Ramgati,,,,BD20510073,Lakshmipur,,,,BD2051,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,359.8570647,v03,en,,,,,22.62490396,90.92223747
Begumganj,,,,BD20750007,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,237.2489716,v03,en,,,,,22.93091025,91.09425854
Chatkhil,,,,BD20750010,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,137.6278444,v03,en,,,,,23.0533338,90.96372295
Companiganj,,,,BD20750021,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,409.1235102,v03,en,,,,,22.75865966,91.30075882
Hatiya,,,,BD20750036,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,1065.848807,v03,en,,,,,22.3481622,91.09140468
